date,day_index,product_id,product_name,category,subcategory,day_of_week,demand,pre_orders,store_open_tomorrow,store_open_day_after,holiday_tomorrow,holiday_day_after,is_promo,unit_price,unit_cost,weather_temp,weather_rain,shelf_life_days,lead_time_days,moq
2026-02-20,59,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,184,55,1,1,0,0,0,3.49,1.8,19.9,0,5,1,20
2026-02-23,60,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,147,40,1,1,0,0,0,3.49,1.8,21.5,0,5,1,20
2026-02-24,61,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,150,34,1,1,0,0,0,3.49,1.8,23.3,0,5,1,20
2026-02-25,62,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,138,40,1,1,0,0,0,3.49,1.8,21.9,0,5,1,20
2026-02-26,63,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,222,58,1,1,0,0,0,3.49,1.8,21.7,0,5,1,20
2026-02-27,64,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,195,45,1,1,0,0,0,3.49,1.8,22.3,0,5,1,20
2026-03-02,65,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,166,33,1,1,0,0,0,3.49,1.8,18.6,0,5,1,20
2026-03-03,66,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,103,26,1,1,0,0,0,3.49,1.8,24.5,0,5,1,20
2026-03-04,67,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,160,40,1,1,0,0,0,3.49,1.8,18.6,1,5,1,20
2026-03-05,68,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,165,34,1,1,0,0,0,3.49,1.8,17.8,0,5,1,20
2026-03-06,69,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,168,44,1,1,0,0,0,3.49,1.8,19.1,0,5,1,20
2026-03-09,70,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,176,39,1,1,0,0,0,3.49,1.8,14.6,0,5,1,20
2026-03-10,71,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,143,42,1,1,0,0,0,3.49,1.8,16.8,1,5,1,20
2026-03-11,72,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,258,56,1,1,0,0,1,2.79,1.8,19.1,0,5,1,20
2026-03-12,73,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,252,68,1,1,0,0,1,2.79,1.8,16.8,0,5,1,20
2026-03-13,74,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,361,98,1,1,0,0,1,2.79,1.8,14.9,0,5,1,20
2026-03-16,75,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,346,77,1,1,0,0,1,2.79,1.8,21.4,0,5,1,20
2026-03-17,76,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,133,28,1,1,0,0,0,3.49,1.8,19.3,1,5,1,20
2026-03-18,77,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,144,30,1,1,0,0,0,3.49,1.8,17.4,0,5,1,20
2026-03-19,78,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,146,35,1,1,0,0,0,3.49,1.8,9.7,1,5,1,20
2026-03-20,79,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,152,31,1,1,0,0,0,3.49,1.8,19.1,0,5,1,20
2026-03-23,80,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,143,40,1,1,0,0,0,3.49,1.8,18.4,0,5,1,20
2026-03-24,81,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,154,40,1,1,0,0,0,3.49,1.8,13.3,1,5,1,20
2026-03-25,82,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,126,32,1,1,0,0,0,3.49,1.8,15.0,0,5,1,20
2026-03-26,83,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,131,33,1,1,0,0,0,3.49,1.8,17.8,0,5,1,20
2026-03-27,84,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,197,57,1,1,0,0,0,3.49,1.8,14.0,0,5,1,20
2026-03-30,85,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,174,40,1,1,0,0,0,3.49,1.8,14.5,1,5,1,20
2026-03-31,86,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,161,43,1,1,0,1,0,3.49,1.8,12.5,1,5,1,20
2026-04-01,87,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,186,52,1,0,1,1,0,3.49,1.8,15.1,0,5,1,20
2026-04-02,88,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,284,79,0,1,1,0,0,3.49,1.8,11.4,0,5,1,20
2026-04-03,89,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,0,0,1,1,0,0,0,3.49,1.8,12.7,0,5,1,20
2026-04-06,90,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,395,95,1,1,0,0,1,2.79,1.8,13.6,0,5,1,20
2026-04-07,91,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,288,83,1,1,0,0,1,2.79,1.8,13.8,1,5,1,20
2026-04-08,92,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,238,68,1,1,0,0,1,2.79,1.8,14.5,0,5,1,20
2026-04-09,93,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,273,70,1,1,0,0,1,2.79,1.8,12.3,0,5,1,20
2026-04-10,94,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,232,54,1,1,0,0,0,3.49,1.8,9.7,0,5,1,20
2026-04-13,95,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,192,53,1,1,0,0,0,3.49,1.8,13.4,0,5,1,20
2026-04-14,96,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,132,33,1,1,0,0,0,3.49,1.8,10.8,1,5,1,20
2026-04-15,97,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,131,27,1,1,0,0,0,3.49,1.8,12.6,0,5,1,20
2026-04-16,98,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,146,30,1,1,0,0,0,3.49,1.8,11.2,0,5,1,20
2026-04-17,99,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,189,53,1,1,0,0,0,3.49,1.8,10.6,1,5,1,20
2026-04-20,100,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,195,58,1,1,0,0,0,3.49,1.8,9.0,1,5,1,20
2026-04-21,101,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,114,33,1,1,0,0,0,3.49,1.8,6.8,0,5,1,20
2026-04-22,102,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,131,33,1,1,0,0,0,3.49,1.8,8.1,0,5,1,20
2026-04-23,103,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,166,41,1,1,0,0,0,3.49,1.8,11.1,1,5,1,20
2026-04-24,104,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,195,41,1,1,0,0,0,3.49,1.8,9.2,1,5,1,20
2026-04-27,105,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,159,41,1,1,0,0,0,3.49,1.8,9.7,0,5,1,20
2026-04-28,106,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,144,41,1,1,0,0,0,3.49,1.8,8.7,0,5,1,20
2026-04-29,107,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,146,37,1,1,0,0,0,3.49,1.8,9.2,1,5,1,20
2026-04-30,108,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,298,80,1,1,0,0,1,2.79,1.8,8.7,0,5,1,20
2026-05-01,109,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,304,88,1,1,0,0,1,2.79,1.8,12.8,0,5,1,20
2026-05-04,110,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,286,62,1,1,0,0,1,2.79,1.8,12.8,0,5,1,20
2026-05-05,111,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,231,47,1,1,0,0,1,2.79,1.8,4.0,0,5,1,20
2026-05-06,112,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,166,46,1,1,0,0,0,3.49,1.8,8.9,0,5,1,20
2026-05-07,113,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,168,47,1,1,0,0,0,3.49,1.8,6.4,0,5,1,20
2026-05-08,114,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,230,65,1,1,0,0,0,3.49,1.8,5.5,0,5,1,20
2026-05-11,115,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,168,36,1,1,0,0,0,3.49,1.8,10.4,0,5,1,20
2026-05-12,116,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,162,46,1,1,0,0,0,3.49,1.8,4.6,0,5,1,20
2026-05-13,117,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,156,35,1,1,0,0,0,3.49,1.8,7.8,0,5,1,20
2026-05-14,118,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,160,47,1,1,0,0,0,3.49,1.8,8.0,0,5,1,20
2026-05-15,119,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,204,43,1,1,0,0,0,3.49,1.8,7.1,0,5,1,20
2026-05-18,120,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,205,54,1,1,0,0,0,3.49,1.8,8.3,1,5,1,20
2026-05-19,121,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,174,46,1,1,0,0,0,3.49,1.8,5.0,1,5,1,20
2026-05-20,122,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,138,39,1,1,0,0,0,3.49,1.8,11.2,0,5,1,20
2026-05-21,123,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,193,46,1,1,0,0,0,3.49,1.8,12.3,0,5,1,20
2026-05-22,124,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,221,48,1,1,0,0,0,3.49,1.8,9.5,0,5,1,20
2026-05-25,125,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,142,34,1,1,0,0,0,3.49,1.8,10.4,0,5,1,20
2026-05-26,126,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,271,75,1,1,0,0,1,2.79,1.8,7.9,0,5,1,20
2026-05-27,127,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,204,60,1,1,0,0,1,2.79,1.8,11.8,0,5,1,20
2026-05-28,128,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,283,84,1,1,0,1,1,2.79,1.8,5.2,0,5,1,20
2026-05-29,129,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,454,101,1,1,1,0,1,2.79,1.8,4.7,0,5,1,20
2026-06-01,130,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,173,40,1,1,0,0,0,3.49,1.8,9.7,1,5,1,20
2026-06-02,131,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,157,34,1,1,0,0,0,3.49,1.8,9.0,0,5,1,20
2026-06-03,132,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,134,27,1,1,0,0,0,3.49,1.8,8.2,1,5,1,20
2026-06-04,133,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,152,35,1,1,0,0,0,3.49,1.8,9.2,1,5,1,20
2026-06-05,134,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,208,58,1,1,0,0,0,3.49,1.8,13.5,1,5,1,20
2026-06-08,135,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,186,54,1,1,0,0,0,3.49,1.8,8.4,0,5,1,20
2026-06-09,136,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,137,37,1,1,0,0,0,3.49,1.8,9.8,0,5,1,20
2026-06-10,137,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,129,32,1,1,0,0,0,3.49,1.8,9.2,0,5,1,20
2026-06-11,138,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,188,51,1,1,0,0,0,3.49,1.8,7.4,0,5,1,20
2026-06-12,139,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,199,50,1,1,0,0,0,3.49,1.8,11.9,0,5,1,20
2026-06-15,140,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,161,36,1,1,0,0,0,3.49,1.8,10.7,0,5,1,20
2026-06-16,141,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,127,29,1,1,0,0,0,3.49,1.8,9.7,1,5,1,20
2026-06-17,142,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,130,37,1,1,0,0,0,3.49,1.8,10.2,1,5,1,20
2026-06-18,143,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,179,44,1,1,0,0,0,3.49,1.8,15.1,0,5,1,20
2026-06-19,144,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,308,84,1,1,0,0,1,2.79,1.8,12.2,0,5,1,20
2026-06-22,145,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,318,75,1,1,0,0,1,2.79,1.8,10.2,0,5,1,20
2026-06-23,146,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,312,93,1,1,0,0,1,2.79,1.8,14.4,0,5,1,20
2026-06-24,147,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,161,34,1,1,0,0,0,3.49,1.8,10.1,1,5,1,20
2026-06-25,148,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,165,37,1,1,0,0,0,3.49,1.8,11.9,1,5,1,20
2026-06-26,149,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,174,51,1,1,0,0,0,3.49,1.8,13.6,0,5,1,20
2026-06-29,150,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,163,46,1,1,0,0,0,3.49,1.8,13.3,0,5,1,20
2026-06-30,151,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,168,44,1,1,0,0,0,3.49,1.8,12.9,1,5,1,20
2026-07-01,152,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,152,34,1,1,0,0,0,3.49,1.8,14.6,0,5,1,20
2026-07-02,153,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,174,42,1,1,0,0,0,3.49,1.8,13.4,0,5,1,20
2026-07-03,154,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,211,55,1,1,0,0,0,3.49,1.8,11.8,1,5,1,20
2026-07-06,155,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,159,39,1,1,0,0,0,3.49,1.8,16.6,1,5,1,20
2026-07-07,156,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,144,30,1,1,0,0,0,3.49,1.8,14.4,0,5,1,20
2026-07-08,157,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,130,34,1,1,0,0,0,3.49,1.8,18.0,0,5,1,20
2026-07-09,158,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,192,46,1,1,0,0,0,3.49,1.8,17.4,0,5,1,20
2026-07-10,159,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,190,56,1,1,0,0,0,3.49,1.8,17.8,0,5,1,20
2025-12-01,0,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,390,110,1,1,0,0,1,1.83,1.2,16.2,0,7,1,24
2025-12-02,1,PROD_002,Organic Whole Milk (1L),Food,Dairy,1,188,40,1,1,0,0,0,2.29,1.2,17.0,1,7,1,24
2025-12-03,2,PROD_002,Organic Whole Milk (1L),Food,Dairy,2,170,42,1,1,0,0,0,2.29,1.2,17.4,0,7,1,24
2025-12-04,3,PROD_002,Organic Whole Milk (1L),Food,Dairy,3,201,56,1,1,0,0,0,2.29,1.2,18.7,0,7,1,24
2025-12-05,4,PROD_002,Organic Whole Milk (1L),Food,Dairy,4,219,50,1,1,0,0,0,2.29,1.2,13.2,0,7,1,24
2025-12-08,5,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,306,88,1,1,0,0,0,2.29,1.2,17.6,1,7,1,24
2025-12-09,6,PROD_002,Organic Whole Milk (1L),Food,Dairy,1,135,35,1,1,0,0,0,2.29,1.2,19.6,0,7,1,24
2025-12-10,7,PROD_002,Organic Whole Milk (1L),Food,Dairy,2,221,61,1,1,0,0,0,2.29,1.2,15.3,1,7,1,24
2025-12-11,8,PROD_002,Organic Whole Milk (1L),Food,Dairy,3,268,74,1,1,0,0,0,2.29,1.2,19.8,0,7,1,24
2025-12-12,9,PROD_002,Organic Whole Milk (1L),Food,Dairy,4,243,66,1,1,0,0,0,2.29,1.2,17.9,1,7,1,24
2025-12-15,10,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,223,64,1,1,0,0,0,2.29,1.2,19.3,0,7,1,24
2025-12-16,11,PROD_002,Organic Whole Milk (1L),Food,Dairy,1,187,53,1,1,0,0,0,2.29,1.2,21.5,1,7,1,24
2025-12-17,12,PROD_002,Organic Whole Milk (1L),Food,Dairy,2,160,34,1,1,0,0,0,2.29,1.2,19.2,0,7,1,24
2025-12-18,13,PROD_002,Organic Whole Milk (1L),Food,Dairy,3,188,49,1,1,0,0,0,2.29,1.2,21.5,0,7,1,24
2025-12-19,14,PROD_002,Organic Whole Milk (1L),Food,Dairy,4,309,72,1,1,0,0,0,2.29,1.2,21.1,0,7,1,24
2025-12-22,15,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,475,139,1,1,0,0,1,1.83,1.2,17.0,0,7,1,24
2025-12-23,16,PROD_002,Organic Whole Milk (1L),Food,Dairy,1,272,71,1,1,0,1,1,1.83,1.2,21.3,0,7,1,24
2025-12-24,17,PROD_002,Organic Whole Milk (1L),Food,Dairy,2,452,132,1,0,1,1,1,1.83,1.2,21.2,0,7,1,24
2025-12-25,18,PROD_002,Organic Whole Milk (1L),Food,Dairy,3,439,114,0,1,1,0,0,2.29,1.2,19.7,0,7,1,24
2025-12-26,19,PROD_002,Organic Whole Milk (1L),Food,Dairy,4,0,0,1,1,0,0,0,2.29,1.2,24.7,0,7,1,24
2025-12-29,20,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,306,86,1,1,0,0,0,2.29,1.2,19.8,0,7,1,24
2025-12-30,21,PROD_002,Organic Whole Milk (1L),Food,Dairy,1,211,50,1,1,0,0,0,2.29,1.2,22.1,0,7,1,24
2025-12-31,22,PROD_002,Organic Whole Milk (1L),Food,Dairy,2,173,34,1,1,0,0,0,2.29,1.2,21.8,0,7,1,24
2026-01-01,23,PROD_002,Organic Whole Milk (1L),Food,Dairy,3,171,49,1,1,0,0,0,2.29,1.2,20.3,0,7,1,24
2026-01-02,24,PROD_002,Organic Whole Milk (1L),Food,Dairy,4,214,52,1,1,0,0,0,2.29,1.2,20.0,0,7,1,24
2026-01-05,25,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,212,46,1,1,0,0,0,2.29,1.2,22.2,1,7,1,24
2026-01-06,26,PROD_002,Organic Whole Milk (1L),Food,Dairy,1,186,43,1,1,0,0,0,2.29,1.2,17.5,0,7,1,24
2026-01-07,27,PROD_002,Organic Whole Milk (1L),Food,Dairy,2,225,59,1,1,0,0,0,2.29,1.2,26.8,1,7,1,24
2026-01-08,28,PROD_002,Organic Whole Milk (1L),Food,Dairy,3,200,59,1,1,0,0,0,2.29,1.2,22.7,1,7,1,24
2026-01-09,29,PROD_002,Organic Whole Milk (1L),Food,Dairy,4,278,76,1,1,0,0,0,2.29,1.2,28.5,1,7,1,24
2026-01-12,30,PROD_002,Organic Whole Milk (1L),Food,Dairy,0,256,56,1,1,0,0,0,2.29,1.2,23.9,1,7,1,24
